,country,incomes,year,age
637,Netherlands,21737.0,2013,From 18 to 64 years
638,Netherlands,21174.0,2013,18 years or over
639,Netherlands,21809.0,2013,From 25 to 49 years
640,Netherlands,21944.0,2013,From 25 to 54 years
641,Netherlands,22826.0,2013,From 50 to 64 years
642,Netherlands,22934.0,2013,From 55 to 64 years
643,Netherlands,21164.0,2013,Less than 60 years
644,Netherlands,19808.0,2013,60 years or over
645,Netherlands,21225.0,2013,Less than 65 years
646,Netherlands,,2013,From 65 to 74 years
647,Netherlands,19168.0,2013,65 years or over
648,Netherlands,21080.0,2013,Less than 75 years
649,Netherlands,18114.0,2013,75 years or over
650,Portugal,8177.0,2013,Total
651,Portugal,8502.0,2013,Less than 6 years
652,Portugal,,2013,From 6 to 10 years
653,Portugal,7610.0,2013,From 6 to 11 years
654,Portugal,,2013,From 11 to 15 years
655,Portugal,6987.0,2013,From 12 to 17 years
656,Portugal,7624.0,2013,Less than 16 years
657,Portugal,7274.0,2013,From 16 to 24 years
658,Portugal,8458.0,2013,From 16 to 64 years
659,Portugal,8315.0,2013,16 years or over
660,Portugal,7532.0,2013,Less than 18 years
661,Portugal,7553.0,2013,From 18 to 24 years
662,Portugal,8529.0,2013,From 18 to 64 years
663,Portugal,8370.0,2013,18 years or over
664,Portugal,8691.0,2013,From 25 to 49 years
665,Portugal,8637.0,2013,From 25 to 54 years
666,Portugal,8640.0,2013,From 50 to 64 years
667,Portugal,8825.0,2013,From 55 to 64 years
668,Portugal,8280.0,2013,Less than 60 years
669,Portugal,7938.0,2013,60 years or over
670,Portugal,8300.0,2013,Less than 65 years
671,Portugal,,2013,From 65 to 74 years
672,Portugal,7780.0,2013,65 years or over
673,Portugal,8332.0,2013,Less than 75 years
674,Portugal,7136.0,2013,75 years or over
675,Norway,42909.0,2013,Total
676,Norway,41269.0,2013,Less than 6 years
677,Norway,,2013,From 6 to 10 years
678,Norway,40569.0,2013,From 6 to 11 years
679,Norway,,2013,From 11 to 15 years
680,Norway,40385.0,2013,From 12 to 17 years
681,Norway,40628.0,2013,Less than 16 years
682,Norway,34805.0,2013,From 16 to 24 years
683,Norway,44716.0,2013,From 16 to 64 years
684,Norway,43686.0,2013,16 years or over
685,Norway,40628.0,2013,Less than 18 years
686,Norway,32029.0,2013,From 18 to 24 years
687,Norway,44889.0,2013,From 18 to 64 years
688,Norway,43800.0,2013,18 years or over
689,Norway,44027.0,2013,From 25 to 49 years
690,Norway,44698.0,2013,From 25 to 54 years
691,Norway,51761.0,2013,From 50 to 64 years
692,Norway,52586.0,2013,From 55 to 64 years
693,Norway,42981.0,2013,Less than 60 years
694,Norway,42719.0,2013,60 years or over
695,Norway,43619.0,2013,Less than 65 years
696,Norway,,2013,From 65 to 74 years
697,Norway,39654.0,2013,65 years or over
698,Norway,43668.0,2013,Less than 75 years
699,Norway,34039.0,2013,75 years or over
700,United Kingdom,18694.0,2013,Total
701,United Kingdom,16264.0,2013,Less than 6 years
702,United Kingdom,,2013,From 6 to 10 years
703,United Kingdom,16273.0,2013,From 6 to 11 years
704,United Kingdom,,2013,From 11 to 15 years
705,United Kingdom,15576.0,2013,From 12 to 17 years
706,United Kingdom,16181.0,2013,Less than 16 years
707,United Kingdom,17138.0,2013,From 16 to 24 years
708,United Kingdom,20240.0,2013,From 16 to 64 years
709,United Kingdom,19298.0,2013,16 years or over
710,United Kingdom,16110.0,2013,Less than 18 years
711,United Kingdom,17555.0,2013,From 18 to 24 years
712,United Kingdom,20472.0,2013,From 18 to 64 years
713,United Kingdom,19432.0,2013,18 years or over
714,United Kingdom,20752.0,2013,From 25 to 49 years
715,United Kingdom,20985.0,2013,From 25 to 54 years
716,United Kingdom,20992.0,2013,From 50 to 64 years
717,United Kingdom,20462.0,2013,From 55 to 64 years
718,United Kingdom,19156.0,2013,Less than 60 years
719,United Kingdom,17386.0,2013,60 years or over
720,United Kingdom,19226.0,2013,Less than 65 years
721,United Kingdom,,2013,From 65 to 74 years
722,United Kingdom,16678.0,2013,65 years or over
723,United Kingdom,19051.0,2013,Less than 75 years
724,United Kingdom,15649.0,2013,75 years or over
725,Montenegro,2964.0,2013,Total
726,Montenegro,2518.0,2013,Less than 6 years
727,Montenegro,,2013,From 6 to 10 years
728,Montenegro,2140.0,2013,From 6 to 11 years
729,Montenegro,,2013,From 11 to 15 years
730,Montenegro,2310.0,2013,From 12 to 17 years
731,Montenegro,2317.0,2013,Less than 16 years
732,Montenegro,2706.0,2013,From 16 to 24 years
733,Montenegro,3120.0,2013,From 16 to 64 years
734,Montenegro,3184.0,2013,16 years or over
735,Montenegro,2350.0,2013,Less than 18 years
736,Montenegro,2774.0,2013,From 18 to 24 years
737,Montenegro,3143.0,2013,From 18 to 64 years
738,Montenegro,3208.0,2013,18 years or over
739,Montenegro,3097.0,2013,From 25 to 49 years
740,Montenegro,3135.0,2013,From 25 to 54 years
741,Montenegro,3352.0,2013,From 50 to 64 years
742,Montenegro,3424.0,2013,From 55 to 64 years
743,Montenegro,2854.0,2013,Less than 60 years
744,Montenegro,3396.0,2013,60 years or over
745,Montenegro,2903.0,2013,Less than 65 years
746,Montenegro,,2013,From 65 to 74 years
747,Montenegro,3403.0,2013,65 years or over
748,Montenegro,2947.0,2013,Less than 75 years
749,Montenegro,3444.0,2013,75 years or over
750,European Union,15790.0,2014,Total
751,European Union,15418.0,2014,Less than 6 years
752,European Union,,2014,From 6 to 10 years
753,European Union,14886.0,2014,From 6 to 11 years
754,European Union,,2014,From 11 to 15 years
755,European Union,14003.0,2014,From 12 to 17 years
756,European Union,14831.0,2014,Less than 16 years
757,European Union,14400.0,2014,From 16 to 24 years
758,European Union,16375.0,2014,From 16 to 64 years
759,European Union,16015.0,2014,16 years or over
760,European Union,14729.0,2014,Less than 18 years
761,European Union,14488.0,2014,From 18 to 24 years
762,European Union,16464.0,2014,From 18 to 64 years
763,European Union,16059.0,2014,18 years or over
764,European Union,16440.0,2014,From 25 to 49 years
765,European Union,16651.0,2014,From 25 to 54 years
766,European Union,17363.0,2014,From 50 to 64 years
767,European Union,17194.0,2014,From 55 to 64 years
768,European Union,15952.0,2014,Less than 60 years
769,European Union,15453.0,2014,60 years or over
770,European Union,16008.0,2014,Less than 65 years
771,European Union,,2014,From 65 to 74 years
772,European Union,15144.0,2014,65 years or over
773,European Union,15978.0,2014,Less than 75 years
774,European Union,14456.0,2014,75 years or over
775,European Union,15101.0,2014,Total
776,European Union,14983.0,2014,Less than 6 years
777,European Union,,2014,From 6 to 10 years
778,European Union,14373.0,2014,From 6 to 11 years
779,European Union,,2014,From 11 to 15 years
780,European Union,13575.0,2014,From 12 to 17 years
781,European Union,14355.0,2014,Less than 16 years
782,European Union,13641.0,2014,From 16 to 24 years
783,European Union,15534.0,2014,From 16 to 64 years
784,European Union,15260.0,2014,16 years or over
785,European Union,14266.0,2014,Less than 18 years
786,European Union,13600.0,2014,From 18 to 24 years
787,European Union,15600.0,2014,From 18 to 64 years
788,European Union,15295.0,2014,18 years or over
789,European Union,15520.0,2014,From 25 to 49 years
790,European Union,15747.0,2014,From 25 to 54 years
791,European Union,16588.0,2014,From 50 to 64 years
792,European Union,16448.0,2014,From 55 to 64 years
793,European Union,15190.0,2014,Less than 60 years
794,European Union,14940.0,2014,60 years or over
795,European Union,15248.0,2014,Less than 65 years
796,European Union,,2014,From 65 to 74 years
797,European Union,14675.0,2014,65 years or over
798,European Union,15243.0,2014,Less than 75 years
799,European Union,14116.0,2014,75 years or over
800,European Union,15790.0,2014,Total
801,European Union,15418.0,2014,Less than 6 years
802,European Union,,2014,From 6 to 10 years
803,European Union,14886.0,2014,From 6 to 11 years
804,European Union,,2014,From 11 to 15 years
805,European Union,14003.0,2014,From 12 to 17 years
806,European Union,14831.0,2014,Less than 16 years
807,European Union,14400.0,2014,From 16 to 24 years
808,European Union,16375.0,2014,From 16 to 64 years
809,European Union,16015.0,2014,16 years or over
810,European Union,14729.0,2014,Less than 18 years
811,European Union,14488.0,2014,From 18 to 24 years
812,European Union,16464.0,2014,From 18 to 64 years
813,European Union,16059.0,2014,18 years or over
814,European Union,16440.0,2014,From 25 to 49 years
815,European Union,16651.0,2014,From 25 to 54 years
816,European Union,17363.0,2014,From 50 to 64 years
817,European Union,17194.0,2014,From 55 to 64 years
818,European Union,15952.0,2014,Less than 60 years
819,European Union,15453.0,2014,60 years or over
820,European Union,16008.0,2014,Less than 65 years
821,European Union,,2014,From 65 to 74 years
822,European Union,15144.0,2014,65 years or over
823,European Union,15978.0,2014,Less than 75 years
824,European Union,14456.0,2014,75 years or over
825,European Union,15881.0,2014,Total
826,European Union,15494.0,2014,Less than 6 years
827,European Union,,2014,From 6 to 10 years
828,European Union,14971.0,2014,From 6 to 11 years
829,European Union,,2014,From 11 to 15 years
830,European Union,14099.0,2014,From 12 to 17 years
831,European Union,14915.0,2014,Less than 16 years
832,European Union,14486.0,2014,From 16 to 24 years
833,European Union,16470.0,2014,From 16 to 64 years
834,European Union,16107.0,2014,16 years or over
835,European Union,14814.0,2014,Less than 18 years
836,European Union,14572.0,2014,From 18 to 24 years
837,European Union,16559.0,2014,From 18 to 64 years
838,European Union,16151.0,2014,18 years or over
839,European Union,16531.0,2014,From 25 to 49 years
840,European Union,16745.0,2014,From 25 to 54 years
841,European Union,17469.0,2014,From 50 to 64 years
842,European Union,17300.0,2014,From 55 to 64 years
843,European Union,16044.0,2014,Less than 60 years
844,European Union,15540.0,2014,60 years or over
845,European Union,16101.0,2014,Less than 65 years
846,European Union,,2014,From 65 to 74 years
847,European Union,15229.0,2014,65 years or over
848,European Union,16070.0,2014,Less than 75 years
849,European Union,14535.0,2014,75 years or over
850,European Union,,2014,Total
851,European Union,,2014,Less than 6 years
852,European Union,,2014,From 6 to 10 years
853,European Union,,2014,From 6 to 11 years
854,European Union,,2014,From 11 to 15 years
855,European Union,,2014,From 12 to 17 years
856,European Union,,2014,Less than 16 years
857,European Union,,2014,From 16 to 24 years
858,European Union,,2014,From 16 to 64 years
859,European Union,,2014,16 years or over
860,European Union,,2014,Less than 18 years
861,European Union,,2014,From 18 to 24 years
862,European Union,,2014,From 18 to 64 years
863,European Union,,2014,18 years or over
864,European Union,,2014,From 25 to 49 years
865,European Union,,2014,From 25 to 54 years
866,European Union,,2014,From 50 to 64 years
867,European Union,,2014,From 55 to 64 years
868,European Union,,2014,Less than 60 years
869,European Union,,2014,60 years or over
870,European Union,,2014,Less than 65 years
871,European Union,,2014,From 65 to 74 years
872,European Union,,2014,65 years or over
873,European Union,,2014,Less than 75 years
874,European Union,,2014,75 years or over
875,Netherlands,20891.0,2014,Total
876,Netherlands,21667.0,2014,Less than 6 years
877,Netherlands,,2014,From 6 to 10 years
878,Netherlands,19509.0,2014,From 6 to 11 years
879,Netherlands,,2014,From 11 to 15 years
880,Netherlands,18960.0,2014,From 12 to 17 years
881,Netherlands,20139.0,2014,Less than 16 years
882,Netherlands,18711.0,2014,From 16 to 24 years
883,Netherlands,21754.0,2014,From 16 to 64 years
884,Netherlands,21051.0,2014,16 years or over
885,Netherlands,20021.0,2014,Less than 18 years
886,Netherlands,18662.0,2014,From 18 to 24 years
887,Netherlands,21879.0,2014,From 18 to 64 years
888,Netherlands,21135.0,2014,18 years or over
889,Netherlands,22169.0,2014,From 25 to 49 years
890,Netherlands,22188.0,2014,From 25 to 54 years
891,Netherlands,22899.0,2014,From 50 to 64 years
892,Netherlands,23213.0,2014,From 55 to 64 years
893,Netherlands,21241.0,2014,Less than 60 years
894,Netherlands,19718.0,2014,60 years or over
895,Netherlands,21318.0,2014,Less than 65 years
896,Netherlands,,2014,From 65 to 74 years
897,Netherlands,19059.0,2014,65 years or over
898,Netherlands,21164.0,2014,Less than 75 years
899,Netherlands,17953.0,2014,75 years or over
900,Portugal,8229.0,2014,Total
901,Portugal,8566.0,2014,Less than 6 years
902,Portugal,,2014,From 6 to 10 years
903,Portugal,8035.0,2014,From 6 to 11 years
904,Portugal,,2014,From 11 to 15 years
905,Portugal,6899.0,2014,From 12 to 17 years
906,Portugal,7854.0,2014,Less than 16 years
907,Portugal,7187.0,2014,From 16 to 24 years
908,Portugal,8460.0,2014,From 16 to 64 years
909,Portugal,8318.0,2014,16 years or over
910,Portugal,7766.0,2014,Less than 18 years
911,Portugal,7279.0,2014,From 18 to 24 years
912,Portugal,8524.0,2014,From 18 to 64 years
913,Portugal,8365.0,2014,18 years or over
914,Portugal,8878.0,2014,From 25 to 49 years
915,Portugal,8727.0,2014,From 25 to 54 years
916,Portugal,8565.0,2014,From 50 to 64 years
917,Portugal,8793.0,2014,From 55 to 64 years
918,Portugal,8305.0,2014,Less than 60 years
919,Portugal,8048.0,2014,60 years or over
920,Portugal,8357.0,2014,Less than 65 years
921,Portugal,,2014,From 65 to 74 years
922,Portugal,7819.0,2014,65 years or over
923,Portugal,8389.0,2014,Less than 75 years
924,Portugal,7126.0,2014,75 years or over
925,Norway,43775.0,2014,Total
926,Norway,42230.0,2014,Less than 6 years
927,Norway,,2014,From 6 to 10 years
928,Norway,42334.0,2014,From 6 to 11 years
929,Norway,,2014,From 11 to 15 years
930,Norway,40095.0,2014,From 12 to 17 years
931,Norway,41693.0,2014,Less than 16 years
932,Norway,36140.0,2014,From 16 to 24 years
933,Norway,45642.0,2014,From 16 to 64 years
934,Norway,44522.0,2014,16 years or over
935,Norway,41554.0,2014,Less than 18 years
936,Norway,34193.0,2014,From 18 to 24 years
937,Norway,45836.0,2014,From 18 to 64 years
938,Norway,44781.0,2014,18 years or over
939,Norway,44844.0,2014,From 25 to 49 years
940,Norway,45638.0,2014,From 25 to 54 years
941,Norway,52896.0,2014,From 50 to 64 years
942,Norway,53767.0,2014,From 55 to 64 years
943,Norway,43879.0,2014,Less than 60 years
944,Norway,43426.0,2014,60 years or over
945,Norway,44431.0,2014,Less than 65 years
946,Norway,,2014,From 65 to 74 years
947,Norway,40729.0,2014,65 years or over
948,Norway,44485.0,2014,Less than 75 years
949,Norway,34566.0,2014,75 years or over
950,United Kingdom,20528.0,2014,Total
951,United Kingdom,18102.0,2014,Less than 6 years
952,United Kingdom,,2014,From 6 to 10 years
953,United Kingdom,18001.0,2014,From 6 to 11 years
954,United Kingdom,,2014,From 11 to 15 years
955,United Kingdom,16901.0,2014,From 12 to 17 years
956,United Kingdom,17810.0,2014,Less than 16 years
957,United Kingdom,19108.0,2014,From 16 to 24 years
958,United Kingdom,22264.0,2014,From 16 to 64 years
959,United Kingdom,21305.0,2014,16 years or over
960,United Kingdom,17653.0,2014,Less than 18 years
961,United Kingdom,19875.0,2014,From 18 to 24 years
962,United Kingdom,22526.0,2014,From 18 to 64 years
963,United Kingdom,21418.0,2014,18 years or over
964,United Kingdom,22849.0,2014,From 25 to 49 years
965,United Kingdom,22988.0,2014,From 25 to 54 years
966,United Kingdom,23198.0,2014,From 50 to 64 years
967,United Kingdom,22967.0,2014,From 55 to 64 years
968,United Kingdom,21097.0,2014,Less than 60 years
969,United Kingdom,19182.0,2014,60 years or over
970,United Kingdom,21206.0,2014,Less than 65 years
971,United Kingdom,,2014,From 65 to 74 years
972,United Kingdom,18435.0,2014,65 years or over
973,United Kingdom,21000.0,2014,Less than 75 years
974,United Kingdom,16932.0,2014,75 years or over
975,Montenegro,3032.0,2014,Total
976,Montenegro,2539.0,2014,Less than 6 years
977,Montenegro,,2014,From 6 to 10 years
978,Montenegro,2354.0,2014,From 6 to 11 years
979,Montenegro,,2014,From 11 to 15 years
980,Montenegro,2233.0,2014,From 12 to 17 years
981,Montenegro,2356.0,2014,Less than 16 years
982,Montenegro,2702.0,2014,From 16 to 24 years
983,Montenegro,3143.0,2014,From 16 to 64 years
984,Montenegro,3183.0,2014,16 years or over
985,Montenegro,2357.0,2014,Less than 18 years
986,Montenegro,2800.0,2014,From 18 to 24 years
987,Montenegro,3174.0,2014,From 18 to 64 years
988,Montenegro,3208.0,2014,18 years or over
989,Montenegro,3174.0,2014,From 25 to 49 years
990,Montenegro,3182.0,2014,From 25 to 54 years
991,Montenegro,3400.0,2014,From 50 to 64 years
992,Montenegro,3460.0,2014,From 55 to 64 years
993,Montenegro,2927.0,2014,Less than 60 years
994,Montenegro,3388.0,2014,60 years or over
995,Montenegro,2960.0,2014,Less than 65 years
996,Montenegro,,2014,From 65 to 74 years
997,Montenegro,3400.0,2014,65 years or over
998,Montenegro,3000.0,2014,Less than 75 years
999,Montenegro,3330.0,2014,75 years or over
1000,European Union,16138.0,2015,Total
1001,European Union,15814.0,2015,Less than 6 years
1002,European Union,,2015,From 6 to 10 years
1003,European Union,15122.0,2015,From 6 to 11 years
1004,European Union,,2015,From 11 to 15 years
1005,European Union,14413.0,2015,From 12 to 17 years
1006,European Union,15181.0,2015,Less than 16 years
1007,European Union,14869.0,2015,From 16 to 24 years
1008,European Union,16751.0,2015,From 16 to 64 years
1009,European Union,16347.0,2015,16 years or over
1010,European Union,15124.0,2015,Less than 18 years
1011,European Union,14915.0,2015,From 18 to 24 years
1012,European Union,16848.0,2015,From 18 to 64 years
1013,European Union,16402.0,2015,18 years or over
1014,European Union,16785.0,2015,From 25 to 49 years
1015,European Union,17054.0,2015,From 25 to 54 years
1016,European Union,17803.0,2015,From 50 to 64 years
1017,European Union,17422.0,2015,From 55 to 64 years
1018,European Union,16342.0,2015,Less than 60 years
1019,European Union,15610.0,2015,60 years or over
1020,European Union,16378.0,2015,Less than 65 years
1021,European Union,,2015,From 65 to 74 years
1022,European Union,15384.0,2015,65 years or over
1023,European Union,16327.0,2015,Less than 75 years
1024,European Union,14630.0,2015,75 years or over
1025,European Union,15422.0,2015,Total
1026,European Union,15441.0,2015,Less than 6 years
1027,European Union,,2015,From 6 to 10 years
1028,European Union,14582.0,2015,From 6 to 11 years
1029,European Union,,2015,From 11 to 15 years
1030,European Union,13847.0,2015,From 12 to 17 years
1031,European Union,14697.0,2015,Less than 16 years
1032,European Union,14101.0,2015,From 16 to 24 years
1033,European Union,15871.0,2015,From 16 to 64 years
1034,European Union,15567.0,2015,16 years or over
1035,European Union,14621.0,2015,Less than 18 years
1036,European Union,14102.0,2015,From 18 to 24 years
1037,European Union,15949.0,2015,From 18 to 64 years
1038,European Union,15611.0,2015,18 years or over
1039,European Union,15849.0,2015,From 25 to 49 years
1040,European Union,16093.0,2015,From 25 to 54 years
1041,European Union,16926.0,2015,From 50 to 64 years
1042,European Union,16659.0,2015,From 55 to 64 years
1043,European Union,15565.0,2015,Less than 60 years
1044,European Union,15070.0,2015,60 years or over
1045,European Union,15605.0,2015,Less than 65 years
1046,European Union,,2015,From 65 to 74 years
1047,European Union,14866.0,2015,65 years or over
1048,European Union,15572.0,2015,Less than 75 years
1049,European Union,14254.0,2015,75 years or over
1050,European Union,16138.0,2015,Total
1051,European Union,15814.0,2015,Less than 6 years
1052,European Union,,2015,From 6 to 10 years
1053,European Union,15122.0,2015,From 6 to 11 years
1054,European Union,,2015,From 11 to 15 years
1055,European Union,14413.0,2015,From 12 to 17 years
1056,European Union,15181.0,2015,Less than 16 years
1057,European Union,14869.0,2015,From 16 to 24 years
1058,European Union,16751.0,2015,From 16 to 64 years
1059,European Union,16347.0,2015,16 years or over
1060,European Union,15124.0,2015,Less than 18 years
1061,European Union,14915.0,2015,From 18 to 24 years
1062,European Union,16848.0,2015,From 18 to 64 years
1063,European Union,16402.0,2015,18 years or over
1064,European Union,16785.0,2015,From 25 to 49 years
1065,European Union,17054.0,2015,From 25 to 54 years
1066,European Union,17803.0,2015,From 50 to 64 years
1067,European Union,17422.0,2015,From 55 to 64 years
1068,European Union,16342.0,2015,Less than 60 years
1069,European Union,15610.0,2015,60 years or over
1070,European Union,16378.0,2015,Less than 65 years
1071,European Union,,2015,From 65 to 74 years
1072,European Union,15384.0,2015,65 years or over
1073,European Union,16327.0,2015,Less than 75 years
1074,European Union,14630.0,2015,75 years or over
1075,European Union,16228.0,2015,Total
1076,European Union,15890.0,2015,Less than 6 years
1077,European Union,,2015,From 6 to 10 years
1078,European Union,15205.0,2015,From 6 to 11 years
1079,European Union,,2015,From 11 to 15 years
1080,European Union,14500.0,2015,From 12 to 17 years
1081,European Union,15263.0,2015,Less than 16 years
1082,European Union,14953.0,2015,From 16 to 24 years
1083,European Union,16845.0,2015,From 16 to 64 years
1084,European Union,16439.0,2015,16 years or over
1085,European Union,15206.0,2015,Less than 18 years
1086,European Union,14998.0,2015,From 18 to 24 years
1087,European Union,16943.0,2015,From 18 to 64 years
1088,European Union,16494.0,2015,18 years or over
1089,European Union,16875.0,2015,From 25 to 49 years
1090,European Union,17147.0,2015,From 25 to 54 years
1091,European Union,17911.0,2015,From 50 to 64 years
1092,European Union,17531.0,2015,From 55 to 64 years
1093,European Union,16432.0,2015,Less than 60 years
1094,European Union,15701.0,2015,60 years or over
1095,European Union,16469.0,2015,Less than 65 years
1096,European Union,,2015,From 65 to 74 years
1097,European Union,15473.0,2015,65 years or over
1098,European Union,16418.0,2015,Less than 75 years
1099,European Union,14712.0,2015,75 years or over
1100,European Union,,2015,Total
1101,European Union,,2015,Less than 6 years
1102,European Union,,2015,From 6 to 10 years
1103,European Union,,2015,From 6 to 11 years
1104,European Union,,2015,From 11 to 15 years
1105,European Union,,2015,From 12 to 17 years
1106,European Union,,2015,Less than 16 years
1107,European Union,,2015,From 16 to 24 years
1108,European Union,,2015,From 16 to 64 years
1109,European Union,,2015,16 years or over
1110,European Union,,2015,Less than 18 years
1111,European Union,,2015,From 18 to 24 years
1112,European Union,,2015,From 18 to 64 years
1113,European Union,,2015,18 years or over
1114,European Union,,2015,From 25 to 49 years
1115,European Union,,2015,From 25 to 54 years
1116,European Union,,2015,From 50 to 64 years
1117,European Union,,2015,From 55 to 64 years
1118,European Union,,2015,Less than 60 years
1119,European Union,,2015,60 years or over
1120,European Union,,2015,Less than 65 years
1121,European Union,,2015,From 65 to 74 years
1122,European Union,,2015,65 years or over
1123,European Union,,2015,Less than 75 years
1124,European Union,,2015,75 years or over
1125,Netherlands,21292.0,2015,Total
1126,Netherlands,21988.0,2015,Less than 6 years
1127,Netherlands,,2015,From 6 to 10 years
1128,Netherlands,20771.0,2015,From 6 to 11 years
1129,Netherlands,,2015,From 11 to 15 years
1130,Netherlands,19687.0,2015,From 12 to 17 years
1131,Netherlands,21028.0,2015,Less than 16 years
1132,Netherlands,19110.0,2015,From 16 to 24 years
1133,Netherlands,22071.0,2015,From 16 to 64 years
1134,Netherlands,21383.0,2015,16 years or over
1135,Netherlands,20853.0,2015,Less than 18 years
1136,Netherlands,19212.0,2015,From 18 to 24 years
1137,Netherlands,22174.0,2015,From 18 to 64 years
1138,Netherlands,21463.0,2015,18 years or over
1139,Netherlands,22611.0,2015,From 25 to 49 years
1140,Netherlands,22539.0,2015,From 25 to 54 years
1141,Netherlands,22898.0,2015,From 50 to 64 years
1142,Netherlands,23315.0,2015,From 55 to 64 years
1143,Netherlands,21744.0,2015,Less than 60 years
1144,Netherlands,19944.0,2015,60 years or over
1145,Netherlands,21810.0,2015,Less than 65 years
1146,Netherlands,,2015,From 65 to 74 years
1147,Netherlands,19330.0,2015,65 years or over
1148,Netherlands,21615.0,2015,Less than 75 years
1149,Netherlands,17940.0,2015,75 years or over
1150,Portugal,8435.0,2015,Total
1151,Portugal,8559.0,2015,Less than 6 years
1152,Portugal,,2015,From 6 to 10 years
1153,Portugal,8434.0,2015,From 6 to 11 years
1154,Portugal,,2015,From 11 to 15 years
1155,Portugal,7291.0,2015,From 12 to 17 years
1156,Portugal,8136.0,2015,Less than 16 years
1157,Portugal,7508.0,2015,From 16 to 24 years
1158,Portugal,8655.0,2015,From 16 to 64 years
1159,Portugal,8468.0,2015,16 years or over
1160,Portugal,8027.0,2015,Less than 18 years
1161,Portugal,7637.0,2015,From 18 to 24 years
1162,Portugal,8700.0,2015,From 18 to 64 years
1163,Portugal,8508.0,2015,18 years or over
1164,Portugal,8975.0,2015,From 25 to 49 years
1165,Portugal,8846.0,2015,From 25 to 54 years
1166,Portugal,8574.0,2015,From 50 to 64 years
1167,Portugal,8858.0,2015,From 55 to 64 years
1168,Portugal,8567.0,2015,Less than 60 years
1169,Portugal,8036.0,2015,60 years or over
1170,Portugal,8567.0,2015,Less than 65 years
1171,Portugal,,2015,From 65 to 74 years
1172,Portugal,7910.0,2015,65 years or over
1173,Portugal,8577.0,2015,Less than 75 years
1174,Portugal,7226.0,2015,75 years or over
1175,Norway,41483.0,2015,Total
1176,Norway,40051.0,2015,Less than 6 years
1177,Norway,,2015,From 6 to 10 years
1178,Norway,40229.0,2015,From 6 to 11 years
1179,Norway,,2015,From 11 to 15 years
1180,Norway,38245.0,2015,From 12 to 17 years
1181,Norway,39764.0,2015,Less than 16 years
1182,Norway,33602.0,2015,From 16 to 24 years
1183,Norway,43081.0,2015,From 16 to 64 years
1184,Norway,42181.0,2015,16 years or over
1185,Norway,39652.0,2015,Less than 18 years
1186,Norway,31328.0,2015,From 18 to 24 years
1187,Norway,43290.0,2015,From 18 to 64 years
1188,Norway,42317.0,2015,18 years or over
1189,Norway,42502.0,2015,From 25 to 49 years
1190,Norway,43283.0,2015,From 25 to 54 years
1191,Norway,48932.0,2015,From 50 to 64 years
1192,Norway,49907.0,2015,From 55 to 64 years
1193,Norway,41528.0,2015,Less than 60 years
1194,Norway,41410.0,2015,60 years or over
1195,Norway,42221.0,2015,Less than 65 years
1196,Norway,,2015,From 65 to 74 years
1197,Norway,38860.0,2015,65 years or over
1198,Norway,42328.0,2015,Less than 75 years
1199,Norway,32973.0,2015,75 years or over
1200,United Kingdom,21028.0,2015,Total
1201,United Kingdom,18004.0,2015,Less than 6 years
1202,United Kingdom,,2015,From 6 to 10 years
1203,United Kingdom,18541.0,2015,From 6 to 11 years
1204,United Kingdom,,2015,From 11 to 15 years
1205,United Kingdom,18127.0,2015,From 12 to 17 years
1206,United Kingdom,18180.0,2015,Less than 16 years
1207,United Kingdom,19515.0,2015,From 16 to 24 years
1208,United Kingdom,22857.0,2015,From 16 to 64 years
1209,United Kingdom,21784.0,2015,16 years or over
1210,United Kingdom,18266.0,2015,Less than 18 years
1211,United Kingdom,19726.0,2015,From 18 to 24 years
1212,United Kingdom,23103.0,2015,From 18 to 64 years
1213,United Kingdom,21914.0,2015,18 years or over
1214,United Kingdom,23297.0,2015,From 25 to 49 years
1215,United Kingdom,23742.0,2015,From 25 to 54 years
1216,United Kingdom,24344.0,2015,From 50 to 64 years
1217,United Kingdom,23331.0,2015,From 55 to 64 years
1218,United Kingdom,21532.0,2015,Less than 60 years
1219,United Kingdom,19564.0,2015,60 years or over
1220,United Kingdom,21618.0,2015,Less than 65 years
1221,United Kingdom,,2015,From 65 to 74 years
1222,United Kingdom,19032.0,2015,65 years or over
1223,United Kingdom,21437.0,2015,Less than 75 years
1224,United Kingdom,17434.0,2015,75 years or over
1225,Montenegro,3131.0,2015,Total
1226,Montenegro,2624.0,2015,Less than 6 years
1227,Montenegro,,2015,From 6 to 10 years
1228,Montenegro,2643.0,2015,From 6 to 11 years
1229,Montenegro,,2015,From 11 to 15 years
1230,Montenegro,2459.0,2015,From 12 to 17 years
1231,Montenegro,2589.0,2015,Less than 16 years
1232,Montenegro,2835.0,2015,From 16 to 24 years
1233,Montenegro,3232.0,2015,From 16 to 64 years
1234,Montenegro,3288.0,2015,16 years or over
1235,Montenegro,2582.0,2015,Less than 18 years
1236,Montenegro,2920.0,2015,From 18 to 24 years
1237,Montenegro,3276.0,2015,From 18 to 64 years
1238,Montenegro,3320.0,2015,18 years or over
1239,Montenegro,3309.0,2015,From 25 to 49 years
1240,Montenegro,3300.0,2015,From 25 to 54 years
1241,Montenegro,3413.0,2015,From 50 to 64 years
1242,Montenegro,3487.0,2015,From 55 to 64 years
1243,Montenegro,3030.0,2015,Less than 60 years
